Country,Topic,Month,MedianSentiment,IndicatorValue
FR,Employment,2021-06,-1.932387861619759,7.733333333333334
FR,Employment,2021-07,-0.815217391304348,7.833333333333333
FR,Employment,2021-08,-1.3421723222356088,8.033333333333333
FR,Employment,2021-09,-1.3344660328190123,7.733333333333333
FR,Employment,2021-10,-1.6870367173462695,7.566666666666666
FR,Employment,2021-11,-1.3971958195122545,7.466666666666666
FR,Employment,2021-12,1.81543116490166,7.433333333333334
FR,Employment,2022-01,-1.72413793103448,7.433333333333334
FR,Employment,2022-02,-1.2334440987672974,7.433333333333334
FR,Employment,2022-03,-2.8669935317148725,7.3999999999999995
FR,Employment,2022-04,-2.787103876936671,7.3999999999999995
FR,Employment,2022-06,-2.72904483430799,7.333333333333333
FR,Employment,2022-07,-3.4328234674420064,7.3
FR,Employment,2022-08,-0.0563063063063063,7.366666666666667
FR,Employment,2022-09,-2.7777091346370835,7.133333333333333
FR,Employment,2022-11,-0.307692307692308,7.166666666666667
FR,Employment,2023-01,-2.3725169451035297,7.2
FR,Employment,2023-02,-4.7509428032683845,7.133333333333333
FR,Employment,2023-03,-3.798195324990303,7.066666666666666
FR,Employment,2023-04,-3.32786994174843,7.2
FR,Employment,2023-05,-3.2821314728789943,7.2
FR,Employment,2023-06,-2.6953369683530464,7.166666666666667
FR,Employment,2023-07,-1.14947179791938,7.333333333333333
FR,Employment,2023-08,-1.5450310773788116,7.566666666666667
FR,Employment,2023-10,-1.1957514071218949,7.566666666666666
FR,Employment,2023-11,-0.970873786407767,7.566666666666666
FR,Housing,2021-01,-3.39805825242718,61.7025
FR,Housing,2021-04,-1.7107914735835281,62.965
FR,Housing,2021-07,-3.4535686876439,65.7375
FR,Housing,2021-10,-2.130944100340749,65.8425
FR,Housing,2022-01,-1.5583414550343466,66.3325
FR,Housing,2022-04,0.376428896445604,67.7
FR,Housing,2022-07,-2.0214995861427196,69.5575
FR,Housing,2022-10,0.5892839984672568,67.86
FR,Housing,2023-01,-1.0093480061531206,66.74749999999999
FR,Housing,2023-04,-0.06245432955791008,65.995
FR,Housing,2023-07,-0.23696682464455,65.91
FR,Housing,2023-10,0.3190799154987463,62.87499999999999
FR,Inflation,2021-01,-1.4950804054747795,123.38666666666667
FR,Inflation,2021-02,-0.5468483883167551,123.41
FR,Inflation,2021-03,0.0,124.27333333333333
FR,Inflation,2021-04,-0.505477156587129,124.52666666666667
FR,Inflation,2021-05,-1.5498295921964997,124.95666666666666
FR,Inflation,2021-06,-1.3403559002385323,125.19
FR,Inflation,2021-07,-0.9287499470496,125.24333333333333
FR,Inflation,2021-09,-2.754329167052657,125.85000000000001
FR,Inflation,2021-10,-2.59426671947933,126.42666666666666
FR,Inflation,2021-11,-0.890364752799851,126.95
FR,Inflation,2021-12,-2.27044067706167,127.23
FR,Inflation,2022-01,-1.2771765560667152,127.45333333333333
FR,Inflation,2022-02,-0.3320057212780863,128.59333333333333
FR,Inflation,2022-03,-1.1049192019788276,130.63000000000002
FR,Inflation,2022-04,-1.3156347100107262,131.23666666666668
FR,Inflation,2022-05,-5.42849631966351,132.21666666666667
FR,Inflation,2022-06,-2.2040825456699205,133.34333333333333
FR,Inflation,2022-07,-1.892135246576792,133.75666666666666
FR,Inflation,2022-08,-2.1577094847550717,134.38333333333333
FR,Inflation,2022-09,-1.990293950345426,133.69666666666666
FR,Inflation,2022-10,-2.1548156107183947,135.35
FR,Inflation,2022-11,-2.1580661962803416,135.93666666666667
FR,Inflation,2022-12,-1.694898255708749,135.79
FR,Inflation,2023-01,0.4140739792445893,136.39333333333335
FR,Inflation,2023-02,-0.2679599156354531,137.95
FR,Inflation,2023-03,-3.0838825569897614,139.35333333333332
FR,Inflation,2023-04,-0.7657687914107518,140.29
FR,Inflation,2023-05,-3.313090825624996,140.19333333333333
FR,Inflation,2023-06,0.25889005359182743,140.47333333333333
FR,Inflation,2023-07,-0.8449474767665351,140.54666666666665
FR,Inflation,2023-08,-1.3285121150034556,142.07
FR,Inflation,2023-09,-0.8195797398192378,141.26666666666668
FR,Inflation,2023-10,-2.3475471223870756,141.52
FR,Inflation,2023-11,-0.5657320356386374,141.17666666666668
FR,Inflation,2023-12,-0.8952185142241319,141.36333333333334
NL,Employment,2021-03,-4.09157330735509,4.633333333333333
NL,Employment,2021-05,-4.3557168784029,4.366666666666667
NL,Employment,2021-06,-1.0296065175940354,4.2
NL,Employment,2021-08,-3.32936979785969,4.133333333333334
NL,Employment,2021-09,-1.750979381074135,4.133333333333333
NL,Employment,2021-11,-3.83241312114323,3.6666666666666665
NL,Employment,2021-12,1.87657885239986,3.733333333333333
NL,Employment,2022-02,-5.59006211180124,3.5
NL,Employment,2022-03,-0.776531492666092,3.3666666666666667
NL,Employment,2022-05,0.283553875236295,3.266666666666667
NL,Employment,2022-07,-11.0655737704918,3.533333333333333
NL,Employment,2022-08,-8.56820744081173,3.766666666666667
NL,Employment,2022-10,-2.98592260589609,3.7000000000000006
NL,Employment,2022-11,-2.11726384364821,3.5666666666666664
NL,Employment,2023-05,-3.17831215970962,3.5
NL,Employment,2023-06,-6.08894967528207,3.5
NL,Employment,2023-07,-2.0279528759166467,3.5666666666666664
NL,Employment,2023-09,2.30572160546541,3.733333333333333
NL,Employment,2023-10,-0.12987012987013,3.6
NL,Housing,2021-01,-0.87719298245614,76.4025
NL,Housing,2021-07,-9.96168582375479,85.88
NL,Housing,2021-10,1.3606444640927384,88.9975
NL,Housing,2022-01,2.37580993520518,92.50999999999999
NL,Housing,2022-07,-1.76673235340095,93.2625
NL,Housing,2022-10,1.84388444990781,89.06
NL,Housing,2023-07,-7.47252747252747,86.0975
NL,Housing,2023-10,3.80499405469679,88.695
NL,Inflation,2021-02,-0.3724807802959065,130.06
NL,Inflation,2021-03,0.68762278978389,130.46666666666667
NL,Inflation,2021-05,-1.51057401812689,131.70666666666668
NL,Inflation,2021-06,-0.945945945945946,131.92
NL,Inflation,2021-07,-0.5394364314994189,132.71666666666667
NL,Inflation,2021-08,-3.995548725557735,133.43666666666667
NL,Inflation,2021-09,-1.01522842639594,133.21333333333334
NL,Inflation,2021-10,-2.8797271768549764,135.33333333333334
NL,Inflation,2021-11,-2.5282153667443756,136.43333333333334
NL,Inflation,2021-12,-2.8020708270822774,137.70333333333332
NL,Inflation,2022-01,-1.1983190325559747,138.34666666666666
NL,Inflation,2022-02,-1.6025126543086299,139.51333333333332
NL,Inflation,2022-03,-1.497903742739405,145.68
