Month,Country,Topic,AverageSentiment,ArticleVolume
2023-02,NL,Inflation,-3.86643233743409,1
2023-02,UK,Employment,2.52365930599369,1
2023-02,UK,Housing,-2.054232974934423,4
2023-02,UK,Inflation,-0.830257147586678,12
2023-03,DE,Employment,-0.7189714215370385,6
2023-03,DE,Housing,-0.0594227504244485,2
2023-03,DE,Inflation,-1.3166092921378632,27
2023-03,FR,Employment,-3.798195324990303,4
2023-03,FR,Housing,-1.366459091118378,2
2023-03,FR,Inflation,-3.0838825569897614,12
2023-03,NL,Housing,-1.40845070422535,1
2023-03,NL,Inflation,-1.7641856521330832,6
2023-03,UK,Employment,1.3089448597904698,2
2023-03,UK,Housing,-1.7758935640271845,5
2023-03,UK,Inflation,-1.1380246952784465,21
2023-04,DE,Employment,-1.10236220472441,1
2023-04,DE,Housing,-2.6073623739227574,4
2023-04,DE,Inflation,-1.2092450735624072,11
2023-04,FR,Employment,-3.32786994174843,2
2023-04,FR,Housing,-0.06245432955791008,2
2023-04,FR,Inflation,-0.7657687914107518,8
2023-04,UK,Employment,-5.637600575200277,3
2023-04,UK,Housing,-5.398630471998045,2
2023-04,UK,Inflation,-0.5176763016651377,15
2023-05,DE,Employment,-2.547727693738444,5
2023-05,DE,Housing,-1.7953288971022567,9
2023-05,DE,Inflation,-1.4663415256046028,11
2023-05,FR,Employment,-3.2821314728789943,5
2023-05,FR,Housing,-1.1729596500719168,3
2023-05,FR,Inflation,-3.313090825624996,10
2023-05,NL,Employment,-3.17831215970962,2
2023-05,NL,Inflation,2.0742095276565857,5
2023-05,UK,Employment,-2.3658081941644147,2
2023-05,UK,Housing,-1.75192891104445,7
2023-05,UK,Inflation,-1.0657107085980833,22
2023-06,DE,Employment,-2.7626289036168576,7
2023-06,DE,Housing,-0.632487058896161,6
2023-06,DE,Inflation,-1.0725947197147812,22
2023-06,FR,Employment,-2.6953369683530464,5
2023-06,FR,Housing,-0.5672090794924898,13
2023-06,FR,Inflation,0.25889005359182743,11
2023-06,NL,Employment,-6.08894967528207,2
2023-06,NL,Housing,-0.8146575690828035,3
2023-06,NL,Inflation,-0.718214210512601,5
2023-06,UK,Employment,0.026056189299036192,4
2023-06,UK,Housing,0.519492682356183,10
2023-06,UK,Inflation,-1.1224208075718587,29
2023-07,DE,Employment,-4.54264853382997,3
2023-07,DE,Housing,-1.8712957401510835,10
2023-07,DE,Inflation,-0.8441400685137065,23
2023-07,FR,Employment,-1.14947179791938,4
2023-07,FR,Housing,-0.23696682464455,5
2023-07,FR,Inflation,-0.8449474767665351,8
2023-07,NL,Employment,-2.0279528759166467,3
2023-07,NL,Housing,-7.47252747252747,1
2023-07,NL,Inflation,-2.64314950026189,2
2023-07,UK,Employment,-0.463878908724125,3
2023-07,UK,Housing,-2.2143149858744984,8
2023-07,UK,Inflation,-1.6876086341744323,30
2023-08,DE,Employment,-1.548945592923119,6
2023-08,DE,Housing,-0.705233721711069,15
2023-08,DE,Inflation,-1.5389838626777534,28
2023-08,FR,Employment,-1.5450310773788116,4
2023-08,FR,Housing,2.031767885320837,6
2023-08,FR,Inflation,-1.3285121150034556,11
2023-08,NL,Housing,-1.05633802816901,1
2023-08,NL,Inflation,-2.8133463035434505,3
2023-08,UK,Employment,-1.1845220771471345,6
2023-08,UK,Housing,0.9349112844792354,2
2023-08,UK,Inflation,-1.719123426325725,18
2023-09,DE,Employment,-1.9556357798966266,3
2023-09,DE,Housing,1.06716936689682,3
2023-09,DE,Inflation,-1.5006894834266813,20
2023-09,FR,Housing,2.88659793814433,1
2023-09,FR,Inflation,-0.8195797398192378,4
2023-09,NL,Employment,2.30572160546541,1
2023-09,NL,Inflation,0.8590367965367944,2
2023-09,UK,Employment,-1.53061224489796,1
2023-09,UK,Housing,-0.7774095205344581,6
2023-09,UK,Inflation,-1.9941399706660385,14
2023-10,DE,Employment,-3.3096926713948,1
2023-10,DE,Housing,-0.07861670704070267,4
2023-10,DE,Inflation,-1.8060877478899138,28
2023-10,FR,Employment,-1.1957514071218949,2
2023-10,FR,Housing,0.3190799154987463,6
2023-10,FR,Inflation,-2.3475471223870756,12
2023-10,NL,Employment,-0.12987012987013,1
2023-10,NL,Housing,3.80499405469679,1
2023-10,NL,Inflation,-1.86682634398858,4
2023-10,UK,Employment,-0.9581814053505351,2
2023-10,UK,Housing,1.5545875429368583,7
